# Mass Point, Crab Directory, 	Dataset Name, 	 File With Most Events
#HH
6000,GravitonWW_M_6000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-6000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToWWToWhadWhad_narrow_M-6000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/270000/F71FB51A-2586-3F44-8BDB-28B100943E49.root
6500,GravitonWW_M_6500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-6500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToWWToWhadWhad_narrow_M-6500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/230000/F5F9269E-3EA7-4F4C-B408-6B97C026E541.root
7000,GravitonWW_M_7000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-7000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToWWToWhadWhad_narrow_M-7000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/260000/D24BA0F7-6948-E94D-919C-EE7F130D4B89.root
7500,GravitonWW_M_7500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-7500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAOD/BulkGravToWWToWhadWhad_narrow_M-7500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v11_L1v1-v2/70000/64A5070F-9209-A446-BA99-91FFF1C0946D.root
8000,GravitonWW_M_8000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-8000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToWWToWhadWhad_narrow_M-8000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/270000/3A61149D-9F40-DD46-8D1A-0E617C28C5ED.root
#ZZ
500,GravitonZZ_M_500GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAOD/BulkGravToZZToZhadZhad_narrow_M-500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v11_L1v1-v1/120000/1855B1AC-5757-3F44-BA55-7C210FE4D23A.root
600,GravitonZZ_M_600GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-600_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-600_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/130000/F913F3C5-E5CF-B64F-BB88-C489470101CB.root
800,GravitonZZ_M_800GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-800_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-800_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/270000/354817EC-4E58-524A-86F7-3E712D9AB001.root
1200,GravitonZZ_M_1200GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1200_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-1200_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/2430000/77A1B305-B713-C44A-B875-7ABDC7555369.root
1600,GravitonZZ_M_1600GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1600_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-1600_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/2500000/AFA1DE23-8691-514E-A425-27EFEB7B7E76.root
2000,GravitonZZ_M_2000GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-2000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-2000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/260000/6B2EBEB8-E8E6-0E4E-91B1-44B074100DF1.root
2500,GravitonZZ_M_2500GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-2500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-2500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/2500000/90CAE6CB-3B65-D046-88F8-59230E11F0E8.root
3000,GravitonZZ_M_3000GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-3000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-3000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/2430000/53FAB99A-6760-4D4F-81EE-86DAE4787774.root
3500,GravitonZZ_M_3500GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-3500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-3500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/2430000/0F6BBA72-F897-4146-A130-FBAD47170D0A.root
4000,GravitonZZ_M_4000GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-4000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/store/mc/RunIISummer20UL18MiniAODv2/BulkGravToZZToZhadZhad_narrow_M-4000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_upgrade2018_realistic_v16_L1v1-v2/2430000/5EF2EC3A-D55E-8C4E-8EC7-F731E507FB64.root
