# Mass Point, Crab Directory, 	Dataset Name, 	 File With Most Events
#HH
2500,GravitonWW_M_2500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-2500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-2500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/DD80DE1D-4297-F346-8766-8F09A6F2B737.root
3000,GravitonWW_M_3000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-3000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-3000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/EBE7CEE2-C23D-484A-8168-54B3028B2180.root
3500,GravitonWW_M_3500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-3500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-3500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/9E7923ED-C771-2D4D-B419-67379AAC71EE.root
4000,GravitonWW_M_4000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-4000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-4000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/9851E967-9722-414E-B0A9-6353FE5587A0.root
4500,GravitonWW_M_4500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-4500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-4500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/BCEDF495-E6E3-124A-BCBA-1C6ADD14FE65.root
5000,GravitonWW_M_5000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-5000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v1/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-5000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v1/120000/1A3591CF-CB13-4548-94C0-1E24A75B5CB8.root
5500,GravitonWW_M_5500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-5500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-5500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/5544F0A7-7AFF-C44D-B866-DCAAB8929C47.root
6000,GravitonWW_M_6000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-6000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-6000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/E39620AB-AC33-B64B-B3FC-ADEE0DDACB28.root
6500,GravitonWW_M_6500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-6500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-6500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/AC3C70EC-F430-3F4F-922C-BE07E935F158.root
7000,GravitonWW_M_7000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-7000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-7000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/DEEE7A1F-3A1F-FC4D-99DD-C716A1D1E53D.root
7500,GravitonWW_M_7500GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-7500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-7500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/B805118E-6977-C542-9618-EEAEC38FC866.root
8000,GravitonWW_M_8000GeV_trees,/BulkGravToWWToWhadWhad_narrow_M-8000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToWWToWhadWhad_narrow_M-8000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/F8F97518-F167-F348-98DF-A92D30D8ACB1.root
#ZZ
500,GravitonZZ_M_500GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v1/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v1/130000/3A754F26-0DBF-8349-A023-7DAE07FDB0B8.root
600,GravitonZZ_M_600GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-600_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v1/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-600_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v1/130000/D0AE538A-717B-204F-8DE7-D5F01DA96D0C.root
800,GravitonZZ_M_800GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-800_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-800_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/554CB639-1812-AB4F-8E98-415EC1E560FD.root
1000,GravitonZZ_M_1000GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-1000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/625C4E82-9991-024E-8974-F69E86F26313.root
1200,GravitonZZ_M_1200GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1200_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-1200_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/140000/AC6AED8C-698A-4E4B-B71D-0339C32988BE.root
1400,GravitonZZ_M_1400GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1400_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v1/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-1400_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v1/110000/A172B3D9-54C0-C148-8D22-7D4C42C56D60.root
1600,GravitonZZ_M_1600GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1600_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v1/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-1600_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v1/130000/8A584F43-3978-364A-A19F-DC774641818A.root
1800,GravitonZZ_M_1800GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-1800_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-1800_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/A5B6247B-7382-BF4E-85F0-193EC0FA2326.root
2000,GravitonZZ_M_2000GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-2000_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v1/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-2000_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v1/140000/A17CF3C3-0337-8546-8606-DB7233200CE1.root
2500,GravitonZZ_M_2500GeV_trees,/BulkGravToZZToZhadZhad_narrow_M-2500_TuneCP5_13TeV-madgraph-pythia/RunIISummer20UL16MiniAODAPV-106X_mcRun2_asymptotic_preVFP_v8-v2/MINIAODSIM,/store/mc/RunIISummer20UL16MiniAODAPV/BulkGravToZZToZhadZhad_narrow_M-2500_TuneCP5_13TeV-madgraph-pythia/MINIAODSIM/106X_mcRun2_asymptotic_preVFP_v8-v2/130000/567488FD-7DE9-7A4E-AF05-6529F56C0257.root
